#ouch-MUnlock: unknown
4And4-KUnlock: progression
AbilityDiscipline-KUnlock: progression
AbilityMastery-KUnlock: unknown
AcceleratedAerodarts-KUnlock: progression
AcidStability-KUnlock: progression
AdmiralBrickell-HUnlock: unknown
Adora-HUnlock: progression
AdorasTemple-MUnlock: unknown
AdvancedLogistics-KUnlock: unknown
AeronauticSubsidy-KUnlock: progression
AirforceUpgrades-KUnlock: useful
Alchemist-TUnlock: progression
AlpineRun-MUnlock: progression
AmbushTech-KUnlock: progression
AnotherBrick-MUnlock: progression
ArcaneImpale-KUnlock: progression
AviationGradeGlue-KUnlock: progression
BackroomDeals-KUnlock: progression
Balance-MUnlock: progression
BananaFarm-TUnlock: progression
BankDeposits-KUnlock: progression
Bazaar-MUnlock: unknown
BeastHandler-TUnlock: progression
Benjamin-HUnlock: progression
BetterSellDeals-KUnlock: progression
BigBloonBlueprints-KUnlock: unknown
BigBloonSabotage-KUnlock: progression
BigBunch-KUnlock: progression
BigCryoBlast-KUnlock: progression
BigInferno-KUnlock: progression
BigTraps-KUnlock: progression
BiggerBanks-KUnlock: useful
BiggerCamoTrap-KUnlock: unknown
BionicAugmentation-KUnlock: progression
BloodyPuddles-MUnlock: unknown
BloonariusPrime-MUnlock: progression
BombShooter-TUnlock: useful
BonusGlueGunner-KUnlock: progression
BonusMonkey-KUnlock: progression
BoomerangMonkey-TUnlock: progression
BreakingBallistic-KUnlock: progression
BudgetBattery-KUnlock: progression
BudgetCashDrops-KUnlock: progression
BudgetClusters-KUnlock: useful
BudgetPontoons-KUnlock: progression
CandyFalls-MUnlock: progression
CaptainChurchill-HUnlock: progression
Cargo-MUnlock: progression
Carved-MUnlock: progression
CastleRevenge-MUnlock: unknown
CeramicShock-KUnlock: progression
ChargedChinooks-KUnlock: progression
CheapRangs-KUnlock: progression
CheaperDoubles-KUnlock: useful
CheaperLakes-KUnlock: unknown
CheaperMaiming-KUnlock: progression
CheaperSolution-KUnlock: progression
Chutes-MUnlock: progression
ColdFront-KUnlock: progression
ComeOnEverybody-KUnlock: unknown
Cornfield-MUnlock: unknown
Corvus-HUnlock: useful
CoveredGarden-MUnlock: unknown
Cracked-MUnlock: unknown
CrossTheStreams-KUnlock: progression
CrossbowReach-KUnlock: unknown
Cubism-MUnlock: progression
DarkCastle-MUnlock: unknown
DarkDungeons-MUnlock: unknown
DarkPath-MUnlock: progression
DartMonkey-TUnlock: progression
DartlingGunner-TUnlock: progression
DeadlyTranquility-KUnlock: unknown
DiversionTactics-KUnlock: progression
DoorGunner-KUnlock: unknown
Downstream-MUnlock: progression
Druid-TUnlock: progression
EliteMilitaryTraining-KUnlock: progression
EmergencyUnlock-KUnlock: progression
EmpoweredHeroes-KUnlock: progression
Encrypted-MUnlock: unknown
EndOfTheRoad-MUnlock: progression
EngineerMonkey-TUnlock: progression
Erosion-MUnlock: unknown
Etienne-HUnlock: progression
ExtraBounce-KUnlock: progression
ExtraBurnyStuff-KUnlock: progression
ExtraDartPops-KUnlock: progression
Ezili-HUnlock: progression
FarmSubsidy-KUnlock: progression
FastGlue-KUnlock: progression
FastTackAttacks-KUnlock: progression
FasterTakedowns-KUnlock: unknown
FiringRange-MUnlock: unknown
FirstLastLineOfDefense-KUnlock: progression
FitFarmers-KUnlock: unknown
FlameJet-KUnlock: progression
FlankingManeuvers-KUnlock: progression
FlatPackBuildings-KUnlock: progression
FloodedValley-MUnlock: progression
ForceVsForce-KUnlock: progression
FourCircles-MUnlock: progression
FraggyFrags-KUnlock: progression
FrozenOver-MUnlock: progression
Geared-MUnlock: unknown
Geraldo-HUnlock: progression
GlacialTrail-MUnlock: progression
GlobalAbilityCooldowns-KUnlock: progression
GlueGunner-TUnlock: progression
GorgonStorm-KUnlock: useful
GrandPrixSpree-KUnlock: progression
GunCoolant-KUnlock: progression
Gwendolin-HUnlock: progression
HardPress-KUnlock: progression
HardTacks-KUnlock: progression
Haunted-MUnlock: unknown
HealthyBananas-KUnlock: progression
HeavyKnockback-KUnlock: unknown
Hedge-MUnlock: progression
HeliPilot-TUnlock: progression
HeroFavors-KUnlock: unknown
HeroicReach-KUnlock: progression
HeroicVelocity-KUnlock: unknown
HiValueMines-KUnlock: unknown
HighFinance-MUnlock: progression
HotMagic-KUnlock: unknown
Hypothermia-KUnlock: useful
IceMonkey-TUnlock: useful
IcyChill-KUnlock: progression
InTheLoop-MUnlock: unknown
IncreasedLifespan-KUnlock: unknown
Infernal-MUnlock: unknown
InlandRevenueStreams-KUnlock: progression
