Knight Crystal: useful
Monk Crystal: useful
Thief Crystal: useful
Dragoon Crystal: useful
Ninja Crystal: useful
Samurai Crystal: useful
Berserker Crystal: useful
Hunter Crystal: useful
MysticKnight Crystal: useful
WhiteMage Crystal: useful
BlackMage Crystal: useful
TimeMage Crystal: useful
Summoner Crystal: useful
BlueMage Crystal: useful
RedMage Crystal: useful
Trainer Crystal: progression
Chemist Crystal: useful
Geomancer Crystal: useful
Bard Crystal: useful
Dancer Crystal: useful
Mimic Crystal: useful
Freelancer Crystal: useful
Fire Sword Magic: useful
Ice Sword Magic: useful
Bolt Sword Magic: useful
Venom Sword Magic: useful
Mute Sword Magic: useful
Sleep Sword Magic: useful
Fire2 Sword Magic: useful
Ice2 Sword Magic: useful
Bolt2 Sword Magic: useful
Drain Sword Magic: useful
Break Sword Magic: useful
Bio Sword Magic: useful
Fire3 Sword Magic: useful
Ice3 Sword Magic: useful
Bolt3 Sword Magic: useful
Holy Sword Magic: useful
Flare Sword Magic: useful
Psych Sword Magic: useful
Cure White Magic: useful
Scan White Magic: useful
Antdt White Magic: useful
Mute White Magic: useful
Armor White Magic: useful
Size White Magic: useful
Cure2 White Magic: useful
Life White Magic: useful
Charm White Magic: useful
Image White Magic: useful
Shell White Magic: useful
Heal White Magic: useful
Cure3 White Magic: useful
Wall White Magic: useful
Bersk White Magic: useful
Life2 White Magic: useful
Holy White Magic: useful
Dispel White Magic: useful
Fire Black Magic: useful
Ice Black Magic: useful
Bolt Black Magic: useful
Venom Black Magic: useful
Sleep Black Magic: useful
Toad Black Magic: useful
Fire2 Black Magic: useful
Ice2 Black Magic: useful
Bolt2 Black Magic: useful
Drain Black Magic: useful
Break Black Magic: useful
Bio Black Magic: useful
Fire3 Black Magic: useful
Ice3 Black Magic: useful
Bolt3 Black Magic: useful
Flare Black Magic: useful
Doom Black Magic: useful
Psych Black Magic: useful
Drag Time Magic: useful
Slow Time Magic: useful
Regen Time Magic: useful
Void Time Magic: useful
Haste Time Magic: useful
Float Time Magic: useful
Demi Time Magic: useful
Stop Time Magic: useful
Exit Time Magic: useful
Comet Time Magic: useful
Slow2 Time Magic: useful
Reset Time Magic: useful
Qrter Time Magic: useful
Hast2 Time Magic: useful
Old Time Magic: useful
Meteo Time Magic: useful
Quick Time Magic: useful
Xzone Time Magic: useful
Chocob Esper Magic: useful
Sylph Esper Magic: useful
Remora Esper Magic: useful
Shiva Esper Magic: useful
Ramuh Esper Magic: useful
Ifrit Esper Magic: useful
Titan Esper Magic: useful
Golem Esper Magic: useful
Shoat Esper Magic: useful
Crbnkl Esper Magic: useful
Syldra Esper Magic: useful
Odin Esper Magic: useful
Phenix Esper Magic: useful
Levia Esper Magic: useful
Bahmut Esper Magic: useful
Power Song Magic: useful
Speed Song Magic: useful
Vitality Song Magic: useful
Magic Song Magic: useful
Hero Song Magic: useful
Requiem Song Magic: useful
Love Song Magic: useful
Charm Song Magic: useful
Condemn Blue Magic: useful
Roulette Blue Magic: useful
AquaRake Blue Magic: useful
L5 Doom Blue Magic: useful
L4 Qrter Blue Magic: useful
L2 Old Blue Magic: useful
L3 Flare Blue Magic: useful
FrogSong Blue Magic: useful
TinySong Blue Magic: useful
Flash Blue Magic: useful
Time Slip Blue Magic: useful
MoonFlut Blue Magic: useful
DethClaw Blue Magic: useful
Aero Blue Magic: useful
Aero 2 Blue Magic: useful
Aero 3 Blue Magic: useful
Emission Blue Magic: useful
GblinPnch Blue Magic: useful
DrkShock Blue Magic: useful
GuardOff Blue Magic: useful
Fusion Blue Magic: useful
MindBlst Blue Magic: useful
Vampire Blue Magic: useful
Hammer Blue Magic: useful
BigGuard Blue Magic: useful
Exploder Blue Magic: useful
???? Blue Magic: useful
Blowfish Blue Magic: useful
WhiteWind Blue Magic: useful
Missile Blue Magic: useful
Kick Ability: useful
BuildUp Ability: useful
Mantra Ability: useful
Escape Ability: useful
Steal Ability: useful
Mug Ability: useful
Jump Ability: useful
DrgnSwd Ability: useful
Smoke Ability: useful
Image Ability: useful
Throw Ability: useful
SwdSlap Ability: useful
GilToss Ability: useful
Slash Ability: useful
Animals Ability: useful
Aim Ability: useful
X-Fight Ability: useful
Conjure Ability: useful
Observe Ability: useful
Analyze Ability: useful
Tame Ability: useful
Control Ability: useful
Catch Ability: progression
Mix Ability: useful
Drink Ability: useful
Pray Ability: useful
Revive Ability: useful
Terrain Ability: useful
Hide Ability: useful
Sing Ability: useful
Flirt Ability: useful
Dance Ability: useful
Mimic Ability: useful
MgcSwrd Lv.1 Ability: filler
MgcSwrd Lv.2 Ability: filler
MgcSwrd Lv.3 Ability: filler
MgcSwrd Lv.4 Ability: useful
MgcSwrd Lv.5 Ability: useful
MgcSwrd Lv.6 Ability: useful
White Lv.1 Ability: filler
White Lv.2 Ability: filler
White Lv.3 Ability: filler
White Lv.4 Ability: useful
White Lv.5 Ability: useful
White Lv.6 Ability: useful
Black Lv.1 Ability: filler
Black Lv.2 Ability: filler
Black Lv.3 Ability: filler
Black Lv.4 Ability: useful
Black Lv.5 Ability: useful
Black Lv.6 Ability: useful
Time Lv.1 Ability: filler
Time Lv.2 Ability: filler
Time Lv.3 Ability: filler
Time Lv.4 Ability: useful
Time Lv.5 Ability: useful
Time Lv.6 Ability: useful
Summon Lv.1 Ability: filler
Summon Lv.2 Ability: filler
Summon Lv.3 Ability: filler
Summon Lv.4 Ability: useful
Summon Lv.5 Ability: useful
Red Lv.1 Ability: useful
Red Lv.2 Ability: useful
Red Lv.3 Ability: useful
X-Magic Ability: useful
Blue Ability: useful
Equip Shield Ability: filler
Equip Armors Ability: filler
Equip Ribbon Ability: filler
Equip Swords Ability: filler
Equip Spears Ability: filler
Equip Katana Ability: filler
Equip Axes Ability: filler
Equip Bows Ability: filler
Equip Whips Ability: filler
Equip Harps Ability: filler
Agility Ability: useful
